indexList,ID,Occ_CY,Occ_PY,Occ_Chg,ADR_CY,ADR_PY,RevPAR_CY,RevPAR_PY,RevPAR_Chg,Month,Year,UOM,ADR_Chg,Day,Date,Data Affiliation
1,State of Hawaiâ€˜i,0.788583966,0.788348654,0.000235312,267.5730739,256.4575655,211,202.18,0.043624493,3,2017,MTD,0.043342486,1,3/1/2017,HTA
2,Luxury Class,0.752677842,0.74632586,0.006351982,551.5588284,545.7736962,415.15,407.33,0.019198193,3,2017,MTD,0.010599874,1,3/1/2017,HTA
3,Upper Upscale Class,0.836739323,0.848487087,-0.011747764,261.2637202,252.5821312,218.61,214.31,0.020064393,3,2017,MTD,0.034371351,1,3/1/2017,HTA
4,Upscale Class,0.753329915,0.731060624,0.022269291,200.5801031,192.4981913,151.1,140.73,0.073687202,3,2017,MTD,0.041984352,1,3/1/2017,HTA
5,Upper Midscale Class,0.78684691,0.794147184,-0.007300274,159.188303,148.1550571,125.26,117.66,0.064592895,3,2017,MTD,0.074470937,1,3/1/2017,HTA
6,Midscale & Economy Class,0.754660916,0.762125256,-0.007464341,153.5879389,143.1461352,115.91,109.1,0.062419798,3,2017,MTD,0.072945062,1,3/1/2017,HTA
7,Oâ€˜ahu ,0.793259451,0.815646771,-0.02238732,222.5620745,211.9287967,176.55,172.86,0.021346755,3,2017,MTD,0.050173822,1,3/1/2017,HTA
8,Waikīkī ,0.800405275,0.829953554,-0.02954828,217.9071721,210.4277432,174.41,174.65,-0.001374177,3,2017,MTD,0.035543929,1,3/1/2017,HTA
9,Other O‘ahu ,0.750687381,0.724822767,0.025864614,252.1308855,222.8401034,189.27,161.52,0.171805349,3,2017,MTD,0.131443047,1,3/1/2017,HTA
10,O‘ahu Luxury,0.655743054,0.714409843,-0.058666789,471.9595507,447.7862216,309.48,319.9,-0.032572679,3,2017,MTD,0.053984084,1,3/1/2017,HTA
11,O‘ahu Upper Upscale ,0.847695459,0.869204103,-0.021508644,243.371711,236.8677296,206.31,205.89,0.002039924,3,2017,MTD,0.027458284,1,3/1/2017,HTA
12,O‘ahu Upscale,0.757129868,0.776847693,-0.019717825,189.0503783,186.2698888,143.14,144.7,-0.010780926,3,2017,MTD,0.014927209,1,3/1/2017,HTA
